question,answer
How can I configure a custom error page for managed authentication in Choreo?,"To configure a custom error page for managed authentication in Choreo, you need to specify an error path during the setup of managed authentication for your web application. Here’s how you can do this:\n\n### Steps to Configure a Custom Error Page\n\n1. **Enable Managed Authentication**: When you deploy your web application, ensure that managed authentication is enabled.\n\n2. **Configure Error Path**:\n   - During the deployment process, you will see an option to configure various paths, including the **Error Path**.\n   - Set the **Error Path** to the relative URL of your custom error page. This path will be used by Choreo to redirect users in case of an error during the sign-in or sign-out processes.\n   - If you do not specify an error path, Choreo will use its default error page.\n\n### Important Notes\n- When Choreo redirects to your custom error page, it will include the following query parameters in the URL:\n   - **code**: A short textual error code indicating the error.\n   - **message**: A description of the error.\n\nBy following these steps, you can ensure that any errors encountered during authentication processes are directed to your custom error page, providing a better user experience.\n\nFor more details, you can refer to the relevant section in the documentation: [Set up a custom error page](https://wso2.com/choreo/docs/authentication-and-authorization/secure-web-applications-with-managed-authentication/#step-1-set-up-managed-authentication-for-your-web-application)."
"How do I troubleshoot a ""403 Forbidden"" error when accessing an API in Choreo?","When troubleshooting '403 Forbidden' errors when accessing APIs in Choreo, it is typically related to authorization issues. Here are some steps to consider:\n\n1. **Check Permissions**: Ensure that the necessary permissions have been assigned to the API resources. You can manage permissions in the Choreo Console. To do this:\n   - Navigate to your project and select the component.\n   - In the **Deploy** section, go to **Endpoint Configurations**.\n   - Under **Permissions List**, add the required permissions and ensure they are attached to the relevant resources.\n   - Remember to redeploy your component after making changes to permissions.\n\n2. **Authentication Issues**: If you're using API key or OAuth2 for securing your API:\n   - Make sure the API key is correctly included in your request headers if you're using API Key security.\n   - For OAuth2 secured services, verify that you have a valid access token and that it has not expired. Also, ensure that the token has the necessary scopes to access the API.\n\n3. **User Access**: If the API is secured using an identity provider (IdP), check whether the user has the necessary rights to access the API. This might involve configuring user roles and groups on the IdP side.\n\n4. **Client-Side Errors**: Sometimes, the error could be due to client-side misconfigurations. Ensure that the request is correctly formatted and that the correct endpoint is being accessed.\n\n5. **Logs and Monitoring**: Utilize any available logging and monitoring tools provided by Choreo to check for additional error messages or logs that can give more insight into the '403 Forbidden' error.\n\nFor more detailed instructions on managing permissions and troubleshooting, you can refer to the following links:\n- [Assign permissions to an API in Choreo](https://wso2.com/choreo/docs/authentication-and-authorization/test-secure-api-access-with-choreo-built-in-security-token-service/#step-1-assign-permissions-to-an-api-in-choreo)\n- [Consume an API Key Secured Service](https://wso2.com/choreo/docs/consuming-services/consuming-a-service-apikey/)\n- [Consume a OAuth2 Secured Service](https://wso2.com/choreo/docs/consuming-services/consuming-a-sevice-oauth2/) \n\nThese resources should help you identify and resolve the '403 Forbidden' errors when accessing your APIs in Choreo."
What are the steps to configure a persistent volume for my application in Choreo?,"To configure a persistent volume for your application in Choreo, follow these steps:\n\n1. In the **Component Listing** pane, select the component for which you want to create a persistent storage.\n2. In the left navigation menu, click on **DevOps** and then select **Storage**.\n3. Click on **+ Create** to initiate the creation of a new volume.\n4. In the **Create a Volume Mount** pane, provide a name for the volume and select **Persistent Volume** as the type.\n5. Choose a **Storage Class** that suits your requirements.\n6. Adjust the **Storage Capacity** slider to set the desired capacity for your volume.\n7. Select an appropriate **Access Mode**. Ensure that the access mode is supported by the selected storage class, as Choreo does not verify this compatibility.\n8. Click **Next** to proceed.\n9. Add a mount location by specifying a **Mount Path** and clicking **Add mount**. You can add multiple mount locations if necessary. Ensure that the mount paths are absolute file paths, as these will be used by your application for read/write operations.\n10. Finally, click **Create** to apply the volume to your container immediately.\n\nThis process allows you to create a persistent storage space that remains available even if the container is restarted or removed.\n\nFor more detailed information, you can refer to the documentation here: [Create a persistent storage space for your container](https://wso2.com/choreo/docs/devops-and-ci-cd/configure-storage/#create-a-persistent-storage-space-for-your-container)."
How do I integrate a third-party logging service with Choreo?,"To integrate a third-party logging service with Choreo, you need to register the service in the Choreo Console. Here’s a step-by-step guide on how to do this:\n\n### Step 1: Register the Third-Party Service\n1. **Select the appropriate level of registration**:\n   - **Organization level**: If the logging service should be accessible from any project within the organization.\n   - **Project level**: If the service should be restricted to a specific project.\n   \n2. **Access the Third-Party Services section**:\n   - In the left navigation menu, click on **Dependencies**, then **Third-Party Services**.\n   - Click on **+ Register**.\n\n3. **Provide service details**:\n   - Enter a **Name** and **Version** for the service.\n   - Upload the service definition file (like OpenAPI or GraphQL schema). This will automatically detect the service type.\n   - Verify the **Service Type**.\n\n4. **Define Endpoints**:\n   - Click on **Define Endpoints**.\n   - For each endpoint, enter a **Name** and the **Endpoint URL**.\n   - Add any additional parameters required to connect to the logging service, such as API keys or authorization tokens. If any parameter should be kept confidential, select the **Secret** checkbox.\n\n5. **Select environments**:\n   - Specify the environments where the endpoint should be accessible. The connections to this endpoint can only be created from these environments.\n\n6. **Complete the registration**:\n   - Once all required parameters for at least one endpoint are defined, click **Register** to add the service to the Internal Marketplace.\n\n### Step 2: Manage the Third-Party Service\n- After registering, you can manage the service by viewing or updating its details from the **Third-Party Services** list. This includes updating the service definition or modifying the endpoints.\n\nBy following these steps, you will be able to successfully integrate a third-party logging service with Choreo. For more detailed information, you can refer to the documentation here: [Register a third-party service in Choreo](https://wso2.com/choreo/docs/integrate-and-manage-external-services/integrate-and-manage-third-party-services/#register-a-third-party-service-in-choreo)."
How can I create a scheduled task that runs daily at a specific time?,"To create a scheduled task in Choreo that runs daily at a specific time, you can follow these steps:\n\n### Step 1: Create a Scheduled Task Component\n1. **Create a new component**:\n   - Click on **+ Create** if you have components in your project, or directly click on the **Scheduled Task** card.\n   - Authorize Choreo with your GitHub account if you haven't already.\n   - Enter the details for your scheduled task:\n     - **Component Name**: A unique name for your task.\n     - **Description**: A brief description of what your task does.\n   - Select **Ballerina** as the build pack.\n   - Click **Create** to initialize the component with a sample implementation.\n\n### Step 2: Build the Scheduled Task\n1. Go to the **Build** section in the left navigation menu.\n2. Trigger the build by selecting the latest commit and clicking **Build**. Monitor the build progress in the **Build Logs** pane.\n\n### Step 3: Deploy the Scheduled Task\n1. In the left navigation menu, click **Deploy**.\n2. Click **Configure & Deploy** in the **Set Up** card.\n3. Specify values for any configurable variables needed for your task.\n4. **Define the schedule**:\n   - Select the time zone for your scheduled task.\n   - Set the **Select Range** to **Day** and specify:\n     - **Every**: `1`\n     - **At**: `08:00` (or your desired time).\n5. Click **Deploy** to activate your scheduled task.\n\n### Step 4: Test the Scheduled Task\nOnce deployed, your scheduled task will run at the configured time. You can verify its execution by checking for the expected output, such as an email notification or logs.\n\nThis process ensures that your scheduled task runs daily at the specified time, automating the desired integration effectively.\n\nFor more detailed steps and information, you can refer to the documentation: [Develop a Scheduled Task](https://wso2.com/choreo/docs/develop-components/develop-integrations/develop-a-scheduled-task/)."
How do I configure an egress deny list to restrict outbound traffic from my organization?,"To configure an egress deny list in Choreo and restrict outbound traffic from your organization, you will need to set up an egress policy at the organization level. Here’s how you can do that:\n\n### Steps to Configure Egress Deny List\n\n1. **Select Your Organization**:\n   - In the Choreo Console header, go to the **Organization** list and select your organization.\n\n2. **Access Organization Settings**:\n   - In the left navigation menu, click on **Settings**. This will open the organization-level settings page.\n\n3. **Navigate to Egress Control**:\n   - Click on the **Egress Control** tab.\n\n4. **Create a New Egress Policy**:\n   - Click on **+ Create** to add a new egress policy.\n\n5. **Choose Egress Control Type**:\n   - Select the **Deny All** option. This will block all egress traffic by default.\n   - You can then selectively allow traffic to specific IP ranges or domains as per your requirements.\n\n### Important Notes\n- Once you select an egress control type and create a rule, you cannot change the type without deleting existing rules.\n- Be cautious while adding rules, as blocking required destinations can disrupt your applications.\n- Ensure to add Choreo-managed database hosts to the allowed list if you are using the **Deny All** type.\n- Egress policies you set apply across all environments in your organization.\n\n### Visual Guide\n![Configure an organization-level egress policy](https://wso2.com/choreo/docs/assets/img/administer/configure-an-organization-level-egress-policy.png)\n\nFor more detailed information, you can refer to the [Control Egress Traffic for Your Organization documentation](https://wso2.com/choreo/docs/administer/control-egress-traffic-for-your-organization/#configure-an-egress-policy-at-the-organization-level)."
What are the best practices for managing API keys in Choreo?,"Managing API keys effectively is crucial for ensuring secure and controlled access to your APIs in Choreo. Here are some best practices for managing API keys:\n\n1. **Generate Dedicated API Keys**: Always generate a unique API key for each specific API you plan to publish. This helps in tracking and controlling the access to each individual API.\n\n2. **Monitoring and Management**: Utilize the **Credentials section of the API** in the Choreo Developer Portal to monitor and manage API keys associated with that specific API. This section provides an overview of all API keys, allowing API owners to keep track of their usage.\n\n3. **Application-Level Control**: Similarly, use the **Credentials section of the Application** to view and manage all API keys linked to your application. This ensures that application owners have the necessary control over API subscriptions and access.\n\n4. **API Key Regeneration**: If you need to update an API key, use the regeneration feature. When an API key is regenerated, the existing key remains valid for a grace period (one hour) which allows applications to update their credentials without service interruptions. It’s essential to ensure that all applications using the existing key are updated promptly to avoid disruptions.\n\n5. **API Key Deletion**: API keys can be deleted when they are no longer needed. Keep in mind that deletion is irreversible and will revoke access immediately, which can lead to service interruptions for any application relying on that key. Therefore, proceed with caution when deleting keys.\n\n6. **Use in API Requests**: When consuming an API secured with an API key, ensure to include the key in the `api-key` header of your requests to authenticate properly.\n\nFor further details on managing API keys, you can refer to the Choreo documentation [here](https://wso2.com/choreo/docs/consuming-services/manage-api-keys/)."
How can I add a description to my service in Choreo?,"To add or update the description for a service in the Choreo Console, you can follow these steps:\n\n1. **Access the Third-Party or GenAI Services**:\n   - In the left navigation menu, click on **Dependencies**.\n   - Choose either **Third-Party Services** or **GenAI Services** based on the type of service you're working with. This will display a list of all the services you have created.\n\n2. **Select the Service**:\n   - Click on the service for which you want to update the description. This will open the service details.\n\n3. **Update General Details**:\n   - In the service details view, you will see a section labeled **General Details**. This section displays the service metadata, including the service name, overview, labels, etc.\n   - Here, you can edit the description field to add or update the service description as needed.\n\n4. **Save Changes**:\n   - After updating the description, ensure you save the changes to apply them to the service.\n\n### Additional Note:\n- When services are redeployed, Choreo automatically updates their definitions, visibility, and descriptions. This means any changes you make will be reflected during the redeployment process.\n\nFor more details, you can refer to the following documentation links:\n- [Manage third-party services](https://wso2.com/choreo/docs/integrate-and-manage-external-services/integrate-and-manage-third-party-services/#manage-third-party-services)\n- [Manage GenAI services](https://wso2.com/choreo/docs/integrate-and-manage-external-services/integrate-and-manage-gen-ai-services/#manage-genai-services)"
How do I configure a liveness probe for a gRPC service in Choreo?,"To set up a liveness probe for a gRPC service using Choreo, you need to follow these steps within the Choreo Console:\n\n### Steps to Configure Liveness Probes\n\n1. **Select the Component**:\n   - In the **Component Listing** pane, click on the component for which you want to configure the liveness probe.\n\n2. **Access Health Checks**:\n   - In the left navigation menu, click on **DevOps** and then select **Health Checks**.\n\n3. **Create a New Probe**:\n   - On the **Health Checks** page, click on **+ Create**.\n\n4. **Configure the Liveness Probe**:\n   - You will need to define how the liveness probe checks the health of your gRPC service. You can use one of the following probe types:\n     - **HTTP GET request**: This is the most common approach. It involves implementing a health check endpoint like `/healthz` or `/health` in your gRPC service that responds with an HTTP status code in the range of 200-399.\n     - **TCP connection probe**: This checks if a TCP connection can be established on a specified port of your service.\n     - **Execute a command**: This executes a script or command inside your container and checks the return code to determine if the service is healthy.\n\n5. **Save the Configuration**:\n   - After configuring the liveness probe, click **Save**.\n\n6. **(Optional) Configure a Readiness Probe**:\n   - If needed, you can also set up a readiness probe following similar steps to ensure the service is ready to handle traffic.\n\n### Important Notes:\n- Liveness probes run periodically and will restart the container if the probe fails, allowing for self-healing in cases where the application becomes unresponsive. \n- You can update or remove a probe at any time if your requirements change.\n\n### Check Runtime Status:\nOnce configured, you can monitor the status of your container:\n1. In the left navigation menu, click on **Runtime** under **DevOps**.\n2. Verify that the container is running as expected. If it does not start, check the events and conditions to diagnose any issues with the probes.\n\nFor more detailed information about health checks and probe configurations, you can refer to the documentation [here](https://wso2.com/choreo/docs/devops-and-ci-cd/set-up-health-checks/#configure-liveness-and-readiness-probes)."
How do I use the Choreo CLI to promote a component to the production environment?,"To promote a component to the production environment using the Choreo CLI, you first need to ensure that your component is already created, built, and deployed in the development environment. Additionally, an approval workflow must be configured for environment promotions.\n\nHere are the steps to request approval for promoting a component:\n\n1. **Select the Component**: Navigate to the **Component Listing** pane in the Choreo Console and click on the component you wish to promote. This will take you to the **Overview** page of that component.\n\n2. **Request Promotion**: \n   - Click on the **Deploy** option in the left navigation menu.\n   - Locate the **Development** card and click on **Request to Promote**.\n   - In the **Request Approval** pane that appears, fill in the necessary request details and then click **Submit**. This will create a request and notify the authorized assignees via email.\n\n3. **Await Approval**: Once your request is submitted, you will need to wait for it to be approved. During this time, other developers will not be able to submit a promotion request for the same component. After approval, you will receive a confirmation email.\n\n4. **Promote the Component**: After receiving approval, you can proceed with the promotion to production.\n\n5. **Create Short URL (Optional)**: If you are promoting a web application, you can create a personalized short URL for your application in production by clicking **Promote** in the **Development** card, and then specifying a short URL prefix.\n\nFor more detailed information, you can refer to the following links:\n- [Request approval for environment promotion](https://wso2.com/choreo/docs/develop-components/submit-and-manage-workflow-approval-requests/#request-approval-for-environment-promotion)\n- [Choreo environments](https://wso2.com/choreo/docs/choreo-concepts/environments/) \n\nIf you have specific commands related to the Choreo CLI that you need help with, unfortunately, the provided documentation does not contain that information."
